State,County,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Median_Range
WA,Kitsap,4923,33,104,68.94210847044485,25.0
WA,Kittitas,503,27,64,73.91650099403579,18.0
WA,Klickitat,239,22,43,70.73221757322176,20.0
WA,Lewis,598,27,62,70.61204013377926,32.0
WA,Lincoln,39,13,19,57.1025641025641,32.0
WA,Mason,706,28,77,74.02549575070822,25.0
WA,Okanogan,211,23,42,69.81990521327015,21.0
WA,Pacific,177,20,44,68.47457627118644,30.0
WA,Pend Oreille,47,13,23,72.85106382978724,21.0
WA,Pierce,11542,33,116,64.37714434240166,19.0
WA,San Juan,844,26,76,89.17772511848341,75.0
WA,Skagit,1658,31,84,73.56574185765983,25.0
